Country,Median wealth per adult (US dollars),Mean wealth per adult (US dollars),Adult population (thousands)
Afghanistan,640,1463,"16,838"
Albania,"14,731","31,366","2,225"
Algeria,"3,267","9,348","26,983"
Angola,"1,370","3,649","13,403"
Antigua and Barbuda,"6,961","24,964",71
Argentina,"3,164","10,256","30,320"
Armenia,"8,309","19,517","2,177"
Aruba,"21,750","58,033",80
Australia,"181,361","386,058","18,655"
Austria,"94,070","274,919","7,092"
Azerbaijan,"5,150","11,865","6,997"
Bahamas,"20,129","76,507",292
Bahrain,"30,946","87,108","1,219"
Bangladesh,"2,787","6,643","104,872"
Barbados,"20,497","64,658",214
Belarus,"7,931","16,590","7,390"
Belgium,"117,093","246,135","8,913"
Belize,"3,166","10,864",228
Benin,845,"2,166","5,475"
Bolivia,"3,843","11,672","6,678"
Bosnia and Herzegovina,"13,037","27,873","2,815"
Botswana,"4,550","14,684","1,409"
Brazil,"5,031","23,550","150,089"
Brunei,"13,634","44,541",304
Bulgaria,"18,948","42,686","5,697"
Burkina Faso,589,"1,440","8,862"
Burundi,250,609,"5,131"
Cambodia,"2,029","5,395","9,797"
Cameroon,"1,036","2,840","11,754"
Canada,"107,004","294,255","29,136"
Central African Republic,244,749,"2,183"
Chad,435,"1,167","6,551"
Chile,"19,231","56,972","13,331"
China,"20,942","58,544","1,090,231"
Colombia,"5,325","16,411","34,254"
Comoros,"1,679","5,155",423
"Congo, Republic of",913,"2,701","2,618"
Costa Rica,"11,793","33,683","3,547"
Croatia,"29,183","62,804","3,329"
Cyprus,"28,803","116,207",918
Czech Republic,"20,854","64,663","8,509"
Democratic Republic of the Congo,382,"1,084","37,100"
Denmark,"58,784","284,022","4,475"
Djibouti,"1,120","2,936",583
Dominica,"9,447","33,306",55
Ecuador,"6,399","19,144","10,725"
Egypt,"4,900","15,395","58,309"
El Salvador,"10,148","29,870","4,087"
Equatorial Guinea,"5,545","17,023",724
Eritrea,"1,910","4,134","2,526"
Estonia,"24,915","78,458","1,028"
Ethiopia,"1,360","3,085","52,970"
Fiji,"6,126","15,598",580
